attribute	uniqueness	completeness	counter_total	counter_valid	counter_invalid
age	0.006063597264330536	1.0	14183	14183	0
area_cd	0.030535624895711662	0.4225481209899175	14183	5993	8190
birth_place	0.004551735349101845	0.8674469435239371	14183	12303	1880
cancellation_dt	0.1942466332933794	1.0	14183	14183	0
county_desc	0.006416131989000917	1.0	14183	14183	0
county_id	0.006416131989000917	1.0	14183	14183	0
ethnic_desc	0.00021152083480222803	1.0	14183	14183	0
first_name	0.14475075794965805	1.0	14183	14183	0
house_num	0.32933793978706905	1.0	14183	14183	0
id	1.0	1.0	14183	14183	0
last_name	0.2897835436790524	1.0	14183	14183	0
midl_name	0.20230435433188687	0.9423958259888598	14183	13366	817
party_desc	0.00035253472467038	1.0	14183	14183	0
phone_num	0.9059743717756699	0.42367623210886274	14183	6009	8174
race_desc	0.000493548614538532	1.0	14183	14183	0
reason_cd	0.0016216597334837483	1.0	14183	14183	0
registr_dt	0.3499964746527533	1.0	14183	14183	0
res_city_desc	0.041319983077140035	0.999929493055066	14183	14182	1
sex	0.00021152083480222803	1.0	14183	14183	0
state_cd	0.0001410238330277817	0.999929493055066	14183	14182	1
status_cd	0.00035253472467038	1.0	14183	14183	0
street_name	0.620602129309737	1.0	14183	14183	0
street_type_cd	0.003256150506512301	0.9744059789889304	14183	13820	363
voter_status_desc	0.00035253472467038	1.0	14183	14183	0
voter_status_reason_desc	0.0016216597334837483	1.0	14183	14183	0
zip_code	0.0469609363982513	0.999929493055066	14183	14182	1
