id1,id2,label
11401396,511079,1
3569312,9442163,1
3569312,9522852,1
3569312,9549525,1
9442163,9522852,1
9442163,9549525,1
9522852,9549525,1
12658910,3213055,1
12658910,3174121,1
3213055,3174121,1
3462484,10261176,1
383933,7826253,1
7092750,7022921,1
1658211,6300974,1
13224692,3594362,1
222684,3714715,1
299592,9279844,1
14061389,13796606,1
1725102,9875432,1
10088570,10044324,1
9241428,3162167,1
12849640,9048294,1
10204663,9147746,1
3259214,10199232,1
3259214,10197402,1
10199232,10197402,1
458535,5924228,1
12653724,9632014,1
6907861,6913618,1
13322968,13275499,1
13322968,13053815,1
13275499,13053815,1
7762573,1124609,1
9295678,10184392,1
6943500,2266695,1
5881021,8820692,1
2688355,5887181,1
11889663,2380570,1
9294462,6883525,1
11638665,9261657,1
11638665,9110818,1
9261657,9110818,1
3838687,8599434,1
7224116,10030351,1
9538517,9343313,1
13185402,7756118,1
12397998,3271502,1
12397998,13451107,1
3271502,13451107,1
2396239,2463453,1
7622974,8265186,1
8662274,9822184,1
8662274,7893916,1
9822184,7893916,1
6205731,3721551,1
1635232,12346118,1
1635232,8603834,1
12346118,8603834,1
1374947,12212471,1
6405446,7984876,1
8219948,12709211,1
8219948,10807443,1
12709211,10807443,1
515017,681446,1
10442920,8933600,1
10442920,9616447,1
10442920,8932722,1
8933600,9616447,1
8933600,8932722,1
9616447,8932722,1
6579221,6539628,1
7965941,7961638,1
7965941,7760144,1
7961638,7760144,1
12188650,9961267,1
11701379,9954806,1
12888359,3228539,1
12888359,12719198,1
3228539,12719198,1
9708759,12731768,1
7484612,8321824,1
2453279,6222094,1
3831124,3078727,1
567508,6055479,1
6389341,12170989,1
11850471,6570136,1
1100921,7595775,1
8945062,8977828,1
13544278,10459492,1
3881862,10492461,1
14138894,3897673,1
9612973,9580530,1
11343991,972768,1
12046907,8264892,1
3203631,9820852,1
7032354,816274,1
1907256,6234778,1
1907256,1863928,1
6234778,1863928,1
33887,3394387,1
10308145,3769407,1
11273565,1036290,1
3286542,3399700,1
8000118,8415338,1
11112349,1115538,1
11112349,13825591,1
1115538,13825591,1
11140616,294023,1
8222055,1145388,1
8222055,8695761,1
1145388,8695761,1
9554387,8380376,1
9554387,9237811,1
8380376,9237811,1
9430019,478005,1
3553514,12720980,1
615209,11317535,1
966277,7614686,1
2733271,2502823,1
2733271,12294479,1
2502823,12294479,1
9656291,3226329,1
94392,9631110,1
12687191,6892218,1
12687191,12383998,1
6892218,12383998,1
8858766,1760011,1
9700262,187386,1
6741413,6803005,1
6741413,6694171,1
6803005,6694171,1
3385128,13023356,1
2012257,7018498,1
6686660,2007920,1
6686660,3718511,1
6686660,9843612,1
2007920,3718511,1
2007920,9843612,1
3718511,9843612,1
115655,9713830,1
12193367,12506881,1
1087327,7341255,1
8248962,8690505,1
8248962,6352711,1
8690505,6352711,1
7487142,12284645,1
12544032,9803199,1
12544032,1718553,1
12544032,12330938,1
12544032,10319794,1
