id1,id2
11401396,511079
3569312,9442163
3569312,9522852
3569312,9549525
9442163,9522852
9442163,9549525
9522852,9549525
12658910,3213055
12658910,3174121
3213055,3174121
3462484,10261176
383933,7826253
7092750,7022921
1658211,6300974
13224692,3594362
222684,3714715
299592,9279844
14061389,13796606
1725102,9875432
10088570,10044324
9241428,3162167
12849640,9048294
10204663,9147746
3259214,10199232
3259214,10197402
10199232,10197402
458535,5924228
12653724,9632014
6907861,6913618
13322968,13275499
13322968,13053815
13275499,13053815
7762573,1124609
9295678,10184392
6943500,2266695
5881021,8820692
2688355,5887181
11889663,2380570
9294462,6883525
11638665,9261657
11638665,9110818
9261657,9110818
3838687,8599434
7224116,10030351
9538517,9343313
13185402,7756118
12397998,3271502
12397998,13451107
3271502,13451107
2396239,2463453
7622974,8265186
8662274,9822184
8662274,7893916
9822184,7893916
6205731,3721551
1635232,12346118
1635232,8603834
12346118,8603834
1374947,12212471
6405446,7984876
8219948,12709211
8219948,10807443
12709211,10807443
515017,681446
10442920,8933600
10442920,9616447
10442920,8932722
8933600,9616447
8933600,8932722
9616447,8932722
6579221,6539628
7965941,7961638
7965941,7760144
7961638,7760144
12188650,9961267
11701379,9954806
12888359,3228539
12888359,12719198
3228539,12719198
9708759,12731768
7484612,8321824
2453279,6222094
3831124,3078727
567508,6055479
6389341,12170989
11850471,6570136
1100921,7595775
8945062,8977828
13544278,10459492
3881862,10492461
14138894,3897673
9612973,9580530
11343991,972768
12046907,8264892
3203631,9820852
7032354,816274
1907256,6234778
1907256,1863928
6234778,1863928
33887,3394387
10308145,3769407
11273565,1036290
3286542,3399700
8000118,8415338
11112349,1115538
11112349,13825591
1115538,13825591
11140616,294023
8222055,1145388
8222055,8695761
1145388,8695761
9554387,8380376
9554387,9237811
8380376,9237811
9430019,478005
3553514,12720980
615209,11317535
966277,7614686
2733271,2502823
2733271,12294479
2502823,12294479
9656291,3226329
94392,9631110
12687191,6892218
12687191,12383998
6892218,12383998
8858766,1760011
9700262,187386
6741413,6803005
6741413,6694171
6803005,6694171
3385128,13023356
2012257,7018498
6686660,2007920
6686660,3718511
6686660,9843612
2007920,3718511
2007920,9843612
3718511,9843612
115655,9713830
12193367,12506881
1087327,7341255
8248962,8690505
8248962,6352711
8690505,6352711
7487142,12284645
12544032,9803199
12544032,1718553
12544032,12330938
12544032,10319794
9803199,1718553
9803199,12330938
9803199,10319794
1718553,12330938
1718553,10319794
12330938,10319794
12842060,10600169
1742657,1390858
10009403,9976890
9269681,9554390
7818661,11989918
12106397,7601478
2633166,2563821
6947717,13782164
9627357,10184587
1337072,2817503
17075,10292328
14053745,13818490
14053745,13810118
14053745,13881431
13818490,13810118
13818490,13881431
13810118,13881431
12628793,1694165
6538406,11797872
3011080,3026149
12846229,13742275
12846229,13028786
13742275,13028786
5899493,11469402
5899493,5861449
11469402,5861449
10179287,9418808
10179287,6824833
9418808,6824833
12857232,983369
2222944,3320042
2222944,10560557
2222944,10078449
3320042,10560557
3320042,10078449
10560557,10078449
13042832,5882264
7468582,12291982
995245,8057830
13135098,7774733
13135098,13097441
7774733,13097441
8794861,8766154
9841190,3744443
8663305,7342566
8663305,8080839
7342566,8080839
6863991,5888938
2626947,2288651
2626947,2629895
2288651,2629895
221004,10124532
14062651,12382317
13542645,724673
13148592,12626953
13148592,8909405
13148592,3186166
12626953,8909405
12626953,3186166
8909405,3186166
13785693,7085810
13785693,7066643
7085810,7066643
13899880,8446955
472247,7526507
13229826,12315976
1894613,2970290
1894613,12738582
2970290,12738582
8665012,11448477
7285270,7289212
7285270,7251055
7289212,7251055
12852243,13133287
12852243,10975982
13133287,10975982
1000300,11874919
1702629,1725407
1702629,1712971
1725407,1712971
790813,6045612
790813,7041022
6045612,7041022
2557785,8802815
8994216,3823125
8413111,8330978
8413111,7504798
8330978,7504798
10462973,1877574
164309,3621638
2920571,7471554
2920571,2969248
7471554,2969248
11917140,7693580
11917140,8351087
7693580,8351087
560423,693873
6402570,6326151
3554022,9850886
1983736,6568518
1983736,8376656
6568518,8376656
10045346,8599682
12390337,3693802
5960787,2223694
5960787,1354187
