pair_id	id1	id2	label	split
0	11401396	511079	1.0	train
3	3569312	9549525	1.0	train
7	12658910	3213055	1.0	train
8	12658910	3174121	1.0	train
9	3213055	3174121	1.0	train
10	1033927	9114975	1.0	train
11	8655919	847046	1.0	train
13	383933	7826253	1.0	train
14	7092750	7022921	1.0	train
16	9167292	377059	1.0	train
22	5886110	13163371	1.0	train
24	1725102	9875432	1.0	train
25	10088570	10044324	1.0	train
26	10720010	10822483	1.0	train
30	11372129	1109019	1.0	train
31	3259214	10199232	1.0	train
34	13774208	9524560	1.0	train
35	458535	5924228	1.0	train
36	12653724	9632014	1.0	train
37	3882171	12662280	1.0	train
38	6907861	6913618	1.0	train
42	10043546	10316893	1.0	train
43	7762573	1124609	1.0	train
46	5881021	8820692	1.0	train
48	11889663	2380570	1.0	train
49	9294462	6883525	1.0	train
50	11638665	9261657	1.0	train
53	3838687	8599434	1.0	test
55	9538517	9343313	1.0	train
56	13185402	7756118	1.0	train
59	3271502	13451107	1.0	train
61	7622974	8265186	1.0	train
62	9435759	5891119	1.0	train
66	8662274	7893916	1.0	train
68	6205731	3721551	1.0	train
70	1635232	12346118	1.0	train
71	1635232	8603834	1.0	train
72	12346118	8603834	1.0	train
73	2343115	2694612	1.0	test
77	6405446	7984876	1.0	train
81	12709211	10807443	1.0	train
82	515017	681446	1.0	train
83	10442920	8933600	1.0	train
84	10442920	9616447	1.0	train
85	10442920	8932722	1.0	train
86	8933600	9616447	1.0	train
87	8933600	8932722	1.0	train
88	9616447	8932722	1.0	train
89	6579221	6539628	1.0	train
94	12188650	9961267	1.0	train
97	9567294	10765090	1.0	train
100	13762416	8650985	1.0	train
101	12888359	3228539	1.0	train
102	12888359	12719198	1.0	train
103	3228539	12719198	1.0	train
104	3993698	10686025	1.0	train
109	567508	6055479	1.0	train
110	6389341	12170989	1.0	train
114	13615512	2238885	1.0	train
115	13544278	10459492	1.0	train
116	3881862	10492461	1.0	train
118	14138894	3897673	1.0	train
119	9612973	9580530	1.0	train
122	12046907	8264892	1.0	train
123	3203631	9820852	1.0	train
125	1907256	6234778	1.0	train
126	1907256	1863928	1.0	train
127	6234778	1863928	1.0	train
128	33887	3394387	1.0	val
129	10308145	3769407	1.0	train
132	8000118	8415338	1.0	train
133	11112349	1115538	1.0	train
