mode	hard_positive_weight_scale	hard_negative_weight_scale	monitor_metric	best_epoch	best_monitor_value	test_f1	test_pr_auc	test_precision	test_recall	hard_subset_f1	easy_subset_f1	hard_positive_recall	hard_negative_rejection_rate	run_dir
both	0.5	1.0	blended_score	2	1.0	0.9956896551724138	0.9998683178143462	0.9914163090128756	1.0	0.991869918699187	0.9970674486803519	1.0	0.9782608695652174	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.50_neg1.00_blended_score
both	0.75	0.25	blended_score	2	1.0	0.9935483870967742	1.0	0.9871794871794872	1.0	0.9838709677419355	0.9970674486803519	1.0	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.75_neg0.25_blended_score
both	0.75	0.75	blended_score	2	1.0	0.9935483870967742	1.0	0.9871794871794872	1.0	0.9838709677419355	0.9970674486803519	1.0	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.75_neg0.75_blended_score
both	1.0	0.5	blended_score	2	1.0	0.9935483870967742	0.9998676622619587	0.9871794871794872	1.0	0.9838709677419355	0.9970674486803519	1.0	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos1.00_neg0.50_blended_score
both	1.0	1.0	blended_score	2	1.0	0.9935483870967742	0.9998491629279347	0.9871794871794872	1.0	0.9838709677419355	0.9970674486803519	1.0	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos1.00_neg1.00_blended_score
both	0.75	1.0	blended_score	2	1.0	0.9914163090128756	0.9996378535839917	0.9829787234042553	1.0	0.9838709677419355	0.9941520467836257	1.0	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.75_neg1.00_blended_score
both	0.5	0.75	blended_score	2	1.0	0.9934924078091106	0.9998299229086947	0.9956521739130435	0.9913419913419913	0.9833333333333333	0.9970674486803519	0.9672131147540983	1.0	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.50_neg0.75_blended_score
both	0.75	0.5	blended_score	2	1.0	0.989247311827957	0.9997402248297929	0.9829059829059829	0.9956709956709957	0.976	0.9941176470588236	1.0	0.9347826086956522	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.75_neg0.50_blended_score
both	0.5	0.5	blended_score	2	1.0	0.9914163090128756	0.9998676622619587	0.9829787234042553	1.0	0.9682539682539683	1.0	1.0	0.9130434782608695	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.50_neg0.50_blended_score
both	1.0	0.75	blended_score	2	1.0	0.9829787234042553	0.9998701740591436	0.9665271966527197	1.0	0.9682539682539683	0.9883720930232558	1.0	0.9130434782608695	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos1.00_neg0.75_blended_score
both	0.5	0.25	blended_score	2	1.0	0.989247311827957	0.9997474888227913	0.9829059829059829	0.9956709956709957	0.967741935483871	0.9970674486803519	0.9836065573770492	0.9347826086956522	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos0.50_neg0.25_blended_score
both	1.0	0.25	blended_score	2	1.0	0.9828326180257511	0.9996712566977969	0.9744680851063829	0.9913419913419913	0.944	0.9970674486803519	0.9672131147540983	0.8913043478260869	models\experiments\hard_weight_tuning_extended_midl_sex_aware_bilstm_blended\both_pos1.00_neg0.25_blended_score
